"change_24h","id","market_cap","name","price","rank","source","symbol","timestamp","volume","date","hour"
-2.57826,"build-on",233680620,"BUILDon",0.23346,250,"coingecko","B","2025-12-06T05:04:58.284433",9750185,"2025-12-06",5
-0.90743,"ibc-bridged-usdc",233018929,"Noble USDC",0.993133,245,"coingecko","USDC.N","2025-12-06T05:04:58.284440",1856785,"2025-12-06",5
