"change_24h","id","market_cap","name","price","rank","source","symbol","timestamp","volume","date","hour"
-2.53716,"flow",371423727,"Flow",0.228418,194,"coingecko","FLOW","2025-12-05T01:28:08.176305",6797512,"2025-12-05",1
-5.55791,"helium",368804551,"Helium",1.98,195,"coingecko","HNT","2025-12-05T01:28:08.176311",3747332,"2025-12-05",1
