"change_24h","id","market_cap","name","price","rank","source","symbol","timestamp","volume","date","hour"
8.77568,"mantle-restaked-eth",294530658,"Mantle Restaked ETH",3281.21,226,"coingecko","CMETH","2025-12-03T03:23:00.902479",4349794,"2025-12-03",3
7.4368,"zebec-network",290520449,"Zebec Network",0.00303954,227,"coingecko","ZBCN","2025-12-03T03:23:00.902486",19959267,"2025-12-03",3
