"change_24h","id","market_cap","name","price","rank","source","symbol","timestamp","volume","date","hour"
-0.18519,"tether-gold",2187926106,"Tether Gold",4190.7,55,"coingecko","XAUT","2025-12-06T19:33:04.242602",222282530,"2025-12-06",19
1.876,"ethereum-classic",2065108737,"Ethereum Classic",13.36,56,"coingecko","ETC","2025-12-06T19:33:04.242608",49996241,"2025-12-06",19
